No,NameKo,NameJa,NameEn,CV,Gender,Age,ProductionOrUnit,Weight,Height,B,W,H,Hobby,Birthday,BloodType,HairStyle,AreaFrom,MediaFrom,
1,아마미 하루카,天海春香,Haruka Amami,나카무라 에리코,F,17,765PRO ALLSTARS,158,46,83,56,82,"과자 굽기, 노래하기, 친구와 오래 전화하기",2016-04-03,O,,-,The iDOLM@STER,
2,키사라기 치하야,如月千早,Chihaya Kisaragi,이마이 아사미,F,16,765PRO ALLSTARS,162,41,72,55,78,"음악 감상, 트레이닝, 사진",2016-02-25,A,,-,The iDOLM@STER,
3,하기와라 유키호,萩原雪?,Yukiho Hagiwara,아사쿠라 아즈미,F,17,765PRO ALLSTARS,155,42,81,56,81,,2016-12-24,A,,,The iDOLM@STER,
4,키쿠치 마코토,菊地?,Makoto Kikuchi,히라타 히로미,F,17,765PRO ALLSTARS,159,44,75,57,78,,2016-08-29,O,,,The iDOLM@STER,
5,호시이 미키,星井美希,Miki Hoshii,하세가와 아키코,F,15,765PRO ALLSTARS,161,45,86,55,83,,2016-11-23,B,,,The iDOLM@STER,
6,미우라 아즈사,三浦あずさ,Azusa Miura,타카하시 치아키,F,21,765PRO ALLSTARS,168,48,91,59,86,,2016-07-19,O,,-,The iDOLM@STER,
7,시죠 타카네,四?貴音,Takane Shijou,하라 유미,F,18,765PRO ALLSTARS,169,49,90,62,92,,2016-01-21,B,,,The iDOLM@STER,
8,가나하 히비키,我那覇響,Hibiki Ganaha,누마쿠라 마나미,F,16,765PRO ALLSTARS,152,41,83,56,80,,2016-10-10,A,,오키나와,The iDOLM@STER,
9,미나세 이오리,水?伊織,Iori Minase,쿠기미야 리에,F,15,765PRO ALLSTARS,153,40,77,54,79,,2016-05-05,AB,,,The iDOLM@STER,
10,후타미 아미,?海?美,Ami Futami,시모다 아사미,F,13,765PRO ALLSTARS,158,42,78,55,77,,2016-05-22,B,,,The iDOLM@STER,
11,후타미 마미,?海?美,Mami Futami,시모다 아사미,F,13,765PRO ALLSTARS,158,42,78,55,77,,2016-05-22,B,,,The iDOLM@STER,
12,타카츠키 야요이,高槻やよい,Yayoi Takatsuki,니고 마야코,F,14,765PRO ALLSTARS,145,37,74,54,78,,2016-03-25,O,,,The iDOLM@STER,
13,아키즈키 리츠코,秋月律子,Ritsuko Akizuki,와카바야시 나오미,F,19,765PRO ALLSTARS,156,43,85,57,85,,2016-06-23,A,,,The iDOLM@STER,
14,코사카 호노카,高坂穗乃果,Honoka Kousaka,닛타 에미,F,16,μ's,157,-,78,58,82,"수영, 스티커 수집",2016-08-03,O,,도쿄,Love Live!,
15,소노다 우미,園田海未,Umi Sonoda,미모리 스즈코,F,,μ's,,,,,,,,,,도쿄,Love Live!,
16,미나미 코토리,南ことり,Kotori Minami,우치다 아야,F,,μ's,,,,,,,,,,도쿄,Love Live!,
17,아야세 에리,絢??里,Eli Ayase,난조 요시노,F,,μ's,,,,,,,,,,도쿄,Love Live!,
18,토죠 노조미,東?希,Nozomi Toujou,쿠스다 아이나,F,,μ's,,,,,,,,,,도쿄,Love Live!,
19,야자와 니코,矢澤にこ,Nico Yazawa,토쿠이 소라,F,,μ's,,,,,,,,,,도쿄,Love Live!,
20,호시조라 린,星空凜,Rin Hoshizora,이이다 리호,F,,μ's,,,,,,,,,,도쿄,Love Live!,
21,니시키노 마키,西木野??,Maki Nishikino,Pile,F,,μ's,,,,,,,,,,도쿄,Love Live!,
22,코이즈미 하나요,小泉花陽,Hanayou Koizumi,쿠보 유리카,F,,μ's,,,,,,,,,,도쿄,Love Live!,
23,키라 츠바사,綺羅ツバサ,Tsubasa Kira,사쿠라가와 메구,F,,A-RISE,,,,,,,,,,,,
24,유우키 안쥬,優木あんじゅ,Anju Yuuki,오오하시 아유루,F,,A-RISE,,,,,,,,,,,,
25,토도 에레나,統堂英玲奈,Erena Toudou,마츠나가 마호,F,,A-RISE,,,,,,,,,,,,
26,시마무라 우즈키,島村卯月,Uzuki Shimamura,오오하시 아야카,F,17,346 프로덕션,159,44,83,58,87,친구와 전화 오래 하기,2016-04-24,O,,도쿄,The iDOLM@STER Cinderella Girls,
